inicio,fim,diff
731419,731426,92.0
731418,731418,159.0
731417,731417,-118.0
731413,731414,307.0
731412,731412,-126.0
731410,731411,287.0
731406,731407,-56.0
731400,731404,492.0
731399,731399,-174.0
731397,731398,342.0
731393,731396,34.0
731392,731392,81.0
731391,731391,-84.0
731390,731390,115.0
731383,731389,587.0
731382,731382,96.0
731379,731379,-246.0
731378,731378,82.0
731377,731377,-21.0
731376,731376,25.0
731375,731375,-80.0
731369,731372,670.0
731368,731368,-212.0
731362,731365,533.0
731361,731361,-297.0
731356,731358,397.0
731354,731355,425.0
731351,731351,82.0
731350,731350,-335.0
731344,731349,508.0
731343,731343,-48.0
731340,731342,291.0
731335,731335,-156.0
731330,731334,544.0
731328,731329,-189.0
731322,731327,402.0
731321,731321,-77.0
731316,731320,494.0
731312,731315,195.0
731306,731309,747.0
731305,731305,-113.0
731301,731302,152.0
731300,731300,-42.0
731299,731299,185.0
731298,731298,-309.0
731294,731295,367.0
731293,731293,-137.0
731285,731292,814.0
731284,731284,-386.0
731273,731281,711.0
731270,731272,-78.0
731267,731267,109.0
731265,731266,140.0
731263,731264,358.0
731258,731260,381.0
731256,731257,110.0
731252,731253,-165.0
731251,731251,11.0
731249,731250,-269.0
731246,731246,180.0
731245,731245,-122.0
731244,731244,349.0
731239,731243,594.0
731238,731238,14.0
731230,731237,393.0
731229,731229,44.0
731228,731228,-133.0
731224,731225,416.0
731222,731223,45.0
731221,731221,384.0
731218,731218,-32.0
731214,731217,345.0
731207,731211,88.0
731200,731204,794.0
731196,731197,-4.0
731195,731195,274.0
731193,731194,209.0
731190,731190,155.0
731187,731189,-199.0
731181,731186,517.0
731179,731180,50.0
731167,731176,631.0
731166,731166,-143.0
731161,731165,79.0
731155,731160,155.0
731152,731154,567.0
731151,731151,-448.0
731148,731148,208.0
731147,731147,-33.0
731140,731146,1461.0
731139,731139,-139.0
731138,731138,55.0
731134,731137,-393.0
731133,731133,158.0
731130,731132,305.0
731126,731127,397.0
731125,731125,-191.0
731124,731124,356.0
731119,731123,441.0
731118,731118,21.0
731116,731117,214.0
731113,731113,210.0
731109,731112,526.0
731106,731106,25.0
731105,731105,-9.0
731104,731104,215.0
731103,731103,-2.0
731102,731102,229.0
731092,731099,735.0
731091,731091,104.0
731090,731090,-3.0
731088,731089,662.0
731085,731085,-34.0
731083,731084,430.0
731081,731082,-97.0
731078,731078,313.0
731071,731077,821.0
731068,731070,792.0
731067,731067,-378.0
731064,731064,84.0
731063,731063,-22.0
731061,731062,512.0
731056,731060,725.0
731055,731055,198.0
731050,731054,752.0
731048,731049,224.0
731046,731047,265.0
731042,731043,417.0
731041,731041,-134.0
731039,731039,163.0
731032,731036,376.0
731027,731029,459.0
731026,731026,-67.0
731025,731025,321.0
731019,731022,530.0
731018,731018,232.0
731012,731015,372.0
731008,731011,526.0
731007,731007,-478.0
731006,731006,10.0
731001,731005,294.0
730993,730999,608.0
730992,730992,-329.0
730991,730991,27.0
730990,730990,-32.0
730984,730987,646.0
730983,730983,-145.0
730980,730980,24.0
730979,730979,-500.0
730978,730978,264.0
730976,730977,73.0
730973,730973,53.0
730970,730972,-539.0
730969,730969,14.0
730965,730966,-86.0
730964,730964,199.0
730958,730963,470.0
730956,730957,246.0
730955,730955,-300.0
730952,730952,333.0
730951,730951,-8.0
730949,730950,263.0
730945,730948,-2.0
730944,730944,270.0
730942,730943,42.0
730941,730941,211.0
730936,730937,-29.0
730935,730935,261.0
730927,730934,1001.0
730924,730924,245.0
730923,730923,-123.0
730921,730922,517.0
730920,730920,-263.0
730917,730917,179.0
730914,730916,502.0
730910,730913,394.0
730909,730909,-183.0
730908,730908,234.0
730907,730907,-11.0
730901,730906,943.0
730899,730900,-47.0
730894,730896,723.0
730888,730889,-18.0
730886,730887,191.0
730885,730885,-135.0
730880,730881,178.0
730874,730879,-273.0
730873,730873,207.0
730871,730872,39.0
730866,730868,339.0
730864,730865,352.0
730861,730861,33.0
730858,730860,-87.0
730852,730857,560.0
730847,730847,-163.0
730846,730846,385.0
730845,730845,-9.0
730840,730840,434.0
730838,730839,-238.0
730837,730837,462.0
730832,730836,546.0
730831,730831,213.0
730830,730830,-107.0
730829,730829,147.0
730826,730826,-266.0
730824,730825,353.0
730823,730823,-227.0
730819,730822,610.0
730816,730818,419.0
730810,730815,1077.0
730809,730809,-354.0
730805,730808,126.0
730803,730803,-102.0
730802,730802,327.0
730801,730801,-162.0
730798,730798,189.0
730797,730797,-79.0
